课程名称,课程属性,公选课领域,授课老师,课程内容与评价,考勤与平时作业,期末考核方式,课程成绩,,
电影艺术与大众文化,通识选修课（公选课）,,薛峰,上课看电影，加带着他的评价，很轻松的一门课,本来说考试但是这学期改小论文，1000字评价一部电影,挺好的，很放松，但是电影不会放全就很吊人口味,92,,
经典广告案例赏析,通识选修课（公选课）,,王晔,上课看广告，很多经典广告，很有趣，也很有创意，然后还有老师带的学生做的广告，也蛮有趣的。,自己制作一份广告（文案、平面设计、视频……）,基本不点名，给分很好，适合水。没事去看看广告也挺好,90,,
建筑装饰漫谈,通识选修课（公选课）,,忘了名字,上课室内室外装饰以及安排插花比赛/宜家调研,考勤 最后一节课会点名,老师很温柔 事情不多 还给你一次课不用请假不用来的机会 结课就八百字小作文 ,90,,
建筑装饰漫谈,通识选修课（公选课）,,好像是吴定燕老师吧,上课室内室外装饰以及安排插花比赛/宜家调研,考勤 最后一节课会点名,老师很温柔 事情不多 还给你一次课不用请假不用来的机会 结课就八百字小作文 ,90,,
鲁迅名篇赏析,通识选修课（公选课）,,方长安,赏析 鲁迅名篇  阅读理解 有小作业,偶尔有小作业 期末闭卷,老师很好 平时可以水课 讲的很细致,90,,
社会网络与法律,通识选修课（公选课）,,叶正国,社会热点与网络，，，，，,一学期点名一次，没有作业，可以展示PPT或直接期末上交PPT，期末一个小作文八百字,不点名，老师好说话，  ,97,,
现代设计鉴赏,通识选修课（公选课）,,沈静,设计鉴赏，艺术风格，历史沿革,论文不查重，平时作业是学习通上几道题,事少论文很简单，目前没出分,,,
国际礼仪,通识选修课（公选课）,,李晶,社交，衣服啊行为啊之类的礼仪,基本不考勤，期末考试卷子，两道论述题，每道800字,很轻松的，没什么事儿，很清闲,90,,
疫苗与健康,通识选修课（公选课）,,刘万红,生活中的各种疫苗，比如脊灰炎疫苗，宫颈癌疫苗,有签到，期末是论文+小组讨论最后会有一个开卷考试并不难,老师很好，讲的东西也很贴近生活，可以冲,,,
舞台表演艺术审美赏析,通识选修课（公选课）,,王珊,声乐、表演、舞蹈，不社恐的话挺有意思的,一篇论文+表演节目（舞蹈、唱歌、表演都可以，要和班上同学组队）,给分好，课程也很有意思,93,,
基础生物学实验,通识选修课（公选课）,,谢志雄、毛歆,生物实验操作，对动植物有更多了解,"每节课都有实验完成，每次实验都会有打分(很宽松）。缺了课也有相应的弥补方式。

课外只有一次艺术植物标本制作作业

结课有一次开卷考",适合对生物或实验有一定兴趣的人上。老师和助教都很好，还去了植物园参观。打分很好。需要注意的是有解剖实验,,,
基础生物学实验,通识选修课（公选课）,,谢志雄、毛歆,生物实验操作，对动植物有更多了解,"每节课都有实验完成，每次实验都会有打分(很宽松）。缺了课也有相应的弥补方式。

课外只有一次艺术植物标本制作作业

结课有一次开卷考(因疫情我们这次是线上考)",适合对生物或实验有一定兴趣的人上，听课可以划水，做实验时不行。老师和助教都很好，还去了植物园参观。打分可以。需要注意的是有解剖实验，害怕的同学注意回避。,92,,
基础生物学实验,通识选修课（公选课）,,毛歆,生物学的一些基础实验,做实验和期末开卷考试,总体感觉还不错，只是上课时间比较奇怪,0,,
中华诗词审美,通识选修课（公选课）,,王新才,诗词鉴赏，格律、典故等,平时会对对联，期末鉴赏论文一篇,老师很好。。。课挺有意思，也很轻松，个人感觉值得一上（有点名）,,,
《史记》导读,通识选修课（公选课）,,薛梦潇,史记的各个线索故事，比如：第一次课讲的夷夏之辨，主要涉及吴太伯世家，楚世家，周等,"期中：1500字以上，以史记中某个人物写故事或是为周边人作传记
期末：两道论述题",不签到，老师讲课很风趣，上课故事很吸引人,92,,
史记导读,通识选修课（公选课）,,薛梦潇,史记的相关人物与事件,平时不签到，期末前要交一篇历史小说，但期末可能考平时讲的内容是什么,老师讲课讲的挺有意思的，给分也还可以,87,,
《史记》导读,通识选修课（公选课）,,薛梦潇,史记选篇，老师一直讲，无提问,不考勤，平时作业写小说或纪传，期末考试,讲的很好，要对老师的教学大纲了解清楚,87,,
世界文明史,通识选修课（公选课）,,潘××,世界的各大古文明历史，感觉内容比较新(高中没咋学过的那种),无考勤，每堂课发小作业，期末开卷考,老师挺好的，也很适合水课，成绩还没出不知道给分咋样，平时作业可以直接搜题(都不是考试形式的)，总之还不错,85,,
世界海洋文明史,通识选修课（公选课）,,胡杰,世界海洋文明史的介绍，,不考勤，平时无作业，结课论文,挺好的没啥可说的，狠狠推荐,94,,
世界桥梁建筑赏析,通识选修课（公选课）,,万臻,世界桥梁历史，建筑史，桥梁分类，美丽桥梁赏析,课堂参与，读书笔记，实践，结业作品,我永远喜欢万臻老师.jpg,,,
中国现代文学与视觉文化,通识选修课（公选课）,,张园,视觉文化的基础知识，电影讲解,不考勤。小组作业+结课论文1500字,老师人很好、讲课好。课程内容比较丰富，想申请国外研究生的同学可以考虑,92,,
元素与健康,通识选修课（公选课）,,田卫群,食物里的营养元素，怎么吃得健康,每次课都考勤，一次课程展示，开卷考试,老师挺好的，讲的东西平时生活里也可以注意一下,100,,
数据素养与利用,通识选修课（公选课）,,张宁,数据素养和利用的相关理论和工具,课堂作业，小组展示，期中测试,给分非常好，老师讲课很耐心,96,,
中国古代数术文化,通识选修课（公选课）,,晏昌贵,数术的历史、、门类之类的,上课有时会点同学上去占梦，算一种变相点名、平时作业无、期末论文2-3k字,还可以！老师脾气很好、、,3.7,,
数学精神与方法,通识选修课（公选课）,,杜乃林,数学历史和一些数学知识,开卷考试，小组ppt展示,讲的通俗易懂，人也很好,90,,
现代生活环境与都市病,通识选修课（公选课）,,王洪新,水课，一半时间在教育学生好好听课，其他时间主要放ppt、看视频，讲都市常见污染、生活常识和与情商相关的知识，最后一节课会组织辩论赛,每节课都考勤，平时自愿写作业（以观看视频并写读后感为主），期末一篇课程论文和两篇读后感,分数能不能别膨胀那么厉害，每次上课回答个问题1w分10w分50w分的，但是写个读后感作业才五千分。。。,93,,
现代生活环境与都市病,通识选修课（公选课）,,王洪新,水课，一半时间在教育学生好好听课，其他时间主要放ppt、看视频，讲都市常见污染、生活常识和与情商相关的知识，最后一节课会组织辩论赛,每节课都考勤，平时自愿写作业（以观看视频并写读后感为主），期末一篇课程论文和两篇读后感,分数膨胀太厉害，每次上课回答个问题1w分10w分50w分的，但是写个读后感作业才五千分。。。,93,,
水利现代化,通识选修课（公选课）,,洪林,水利基本原理，大型水利工程介绍,学生投票决定，这学期是开卷考试,老师真的超级好！！给分很特高！！,92,,
水利现代化,通识选修课（公选课）,,洪林,水利现代化，水利的应用，国内外设施,考勤三次 平时作业一个 期末开卷,很好，不知道还开不开，推荐,97,,
治水与社会发展,通识选修课（公选课）,,谢华,水利相关基础知识和水文化,偶尔考勤 没有平时作业 期末论文考核,课程很好，老师给分好，课堂氛围也很好,87,,
水利现代化,通识选修课（公选课）,,洪林,水利知识......,开卷考........,课很好，老师也很好，推荐大家选,,,
治水与社会发展,通识选修课（公选课）,,谢华,水与中国社会发展的关系 讲得很深入 而且不枯燥,论文考核 不少于3000个字,谢华老师人好好，强推这门课,,,
西北水资源,通识选修课（公选课）,,谢平,水资源保护，环境生态保护,ppt汇报+课程作业,好！给我冲！！！！！,97,,
中国古代数术文化,通识选修课（公选课）,,晏昌贵,说得通俗一点就是算命啊风水啊之类的，很有趣，非常扎实,偶尔点名，3000字论文结课,老师非常可爱！上课互动很有趣，ppt也会分享出来，对论文的要求也不高，认真学可以学到很多！,94,,
中国小说与社会,通识选修课（公选课）,,鲁小俊,四大名著?儒林外史、金瓶梅,不考勤，没有平时作业，有一次知识问答，基础分60，比较松，期末开卷,这门课比较宽松，老实人也挺好的,90,,
思修,通识选修课（公选课）,,卢丽珠,思想道德与法治，公选课，水课，基本不用学，期末看笔记,不会点名，但是会通过答题的形式看考勤，平时有小组作业，期末线上开卷，,老师不太好，小组作业给分低,96,,
大学英语a,通识选修课（公选课）,,苏子州,苏老师比较注重课文学习,第一学期进行四次小测,适合具有高考水平英语的学生,,,
莎士比亚与西方社会,通识选修课（公选课）,,戴丹妮,莎剧相关，有文本赏析也有视频观看,有考勤，期末论文+结课式表演,感觉还是挺好的，虽然结课略微复杂了一点但学完还是蛮有收获的,92,,
台湾文学与文化,通识选修课（公选课）,,严靖,台湾文学、电影、诗歌,"小组pre, 读书笔记, 小论文",非常好，很有收获的课程，老师很有自己的想法,93,,
坛经导读,通识选修课（公选课）,,高文强,坛经，然后老师会拓展许多东西，挺有趣的,不考勤，学后感只要1500字，上课从来不听都写得出来,老师超级好玩，课程也超级有趣,,,
天文学概论,通识选修课（公选课）,,罗佳老师,天文，历法，星座相关,不考勤，无平时作业，偶尔有课堂作业（容易），期末考核采取闭卷考（容易）,好，老师讲课十分有趣,90,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文概论，天文观测仪器，发展历史,期末开卷，平时没作业，老师讲的很风趣,是一门不错的课，老师讲的比较有意思，给分也还好,,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文基础知识，还可能会有天文观测,不考勤无平时作业期末开卷考试,平时不来都行但期末考试一定要认真写多写一点,75,,
天文学概论,通识选修课（公选课）,,罗佳,天文学发展的历史 一些基础的天文学知识,有时候老师会布置一个问题让大家下课后交一张纸回答 没有标准答案的问题。期末考的都是老师上课讲过的 不难 答错了也会酌情给分 很能捞,老师讲的课很有趣 不强调死记硬背,90,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文学相关知识 （和老师丰富的生活经历）,不点名 陪没有平时作业 期末考试开卷,老师很幽默 给分也很好,90,,
天文学概论,通识选修课（公选课）,,罗佳,天文学相关知识，老师还会带我们观测,不考勤，平时课上会有一两题思考题，期末闭卷考,老师非常nice！！！！知识渊博且讲课有趣，期末考试也非常简单,,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文学一些有趣的知识,不点名，期末开卷考，无平时作业,老师给分百分之六十六以上都是就是90，不过存在卡绩情况,85,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文学有关知识，以及老师自己的经历,线下开卷考试，可以带手机,特别好，上课很有意思，给分也很好,95,,
宇宙新概念,通识选修课（公选课）,,赵江南,天文学知识  有机会望远镜看星星,只有期末开卷考试，可以用手机,老师挺不错的，风趣幽默,90,,
鲁迅名篇赏析,通识选修课（公选课）,,方长安,挑了几篇比较有名的文章精讲赏析，中途放了电影,闭卷考，都是上课讲过的内容，几乎一样,后面是助教上课，人特别好，考前就差直接把题目告诉你，给分也相当好，但由于是闭卷考试，需要平常做好笔记，考前多看看复习一下,92,,
西方舞蹈与现代剧场审美,通识选修课（公选课）,,吴捷功,跳舞，还有学习剧场艺术,小组视频+课程心得+每周签到,老师要求很严格，但不是和分数挂钩的。其实一开始没想到要自己跳舞，对我来说还是挺难的（作为小班课感觉很多人底子都很好），但老师很温柔很有风度，每周这个时候也当做陶冶心境的修养时间，最后觉得体验蛮不错的，老师超棒！,94,,
体育旅游,通识选修课（公选课）,,张力,听老师讲故事，剩下一大半时间是同学展示,平时随机点名，最后论文结课,亲身经历 别选！！！！！！！！！,,,
简牍与秦汉文化,通识选修课（公选课）,,黄浩波,通过简牍了解秦汉人的日常生活,三次考勤，无平时作业，期末要做一个介绍自己家乡民俗的pre，然后再将稿子改成2000字的结课论文上交即可，文章格式不必规范。,老师人挺好的，有时候讲的也比较有意思，可摸鱼,90,,
古典音乐大师,通识选修课（公选课）,,江柏安,围绕古典音乐的大师们讲古典音乐的乐派、历史、知识和听音乐,每节课课后都有小测，老师当堂考试 期末还会有期末考,老师啊，你那期末考试难度是认真的吗？,90,,
微生物的世界,通识选修课（公选课）,,唐晓峰,微生物  真菌 细菌 病毒啥的,考勤 演讲 半开卷考,老师人还是蛮好的，课程比较紧张我觉得，当时学完第九章就考了,84,,
微生物的世界,通识选修课（公选课）,,唐晓峰,微生物的世界，同学的互动,有考勤，作业是视频制作，期末考试对生物知识有一定要求,老师是好老师，但是更喜欢举手回答问题的孩子,88,,
水利现代化,通识选修课（公选课）,,洪林,我国和世界的水利现代化知识,开卷考平时作业平时考勤,课很好，老师也很好，推荐大家选,,,
宇宙新概念,通识选修课（公选课）,,赵江南老师,我愿称之为天文人文学+赵老师自传之武大惊奇故事，不仅有专业天文知识，还有天文学家的励志故事，更有赵老师六十多年的自传，甚至有武大三十年来不为人知的秘密。还能用天文望远镜看一次星星。,开卷考试（名词解释、简述题、500字小论文）,冲就完事，只要帮赵老师买一本他的书，就是满绩。,90,,
西方舞蹈与现代剧场审美,通识选修课（公选课）,,吴捷功,舞蹈实践和现代舞蹈剧场理论,小组合作完成自编舞蹈,无脑冲就好 老师人又帅给分又好,95,,
西北地区水资源,通识选修课（公选课）,,谢平,西北的水资源现状和生态环境，老师还会给我们看他当时的旅游记录,平时有小组pre，期末是思考题,谢平老师我永远的神！！给分巨好！！！也没有很多要求！！,97,,
西北水资源与管理,通识选修课（公选课）,,谢平,西北地方的水资源情况,"签到考勤
平时作业有14道题目，都有答案
期末考核就是平时作业",冲啊！！！！这真的是良心课！！！,97,,
西北地区水资源与生态,通识选修课（公选课）,,谢平,西北地区的生态、水资源情况,每节课都需要在签到表上签到，一次小组作业需要pre，期末是提前给题目交纸质版,老师很好，直接冲吧            ,97,,
西北地区水资源与生态环境,通识选修课（公选课）,,谢平,西北地区的水资源分布与生态环境保护等,平时会要在签到表上打勾，期末就是交一个十个问答题左右的作业，ppt上基本都有答案,谢平老师真的很好！！！而且会给我们看一些他在外面考察或者旅游时的照片，他和妻子也很恩爱，神仙爱情！！！,97,,
西北地区水资源,通识选修课（公选课）,,谢平,西北地区生态问题+老师的经历分享,个人pre、小组pre、课后思考题,老师人好，事少给分高,95,,
西北水资源,通识选修课（公选课）,,谢平,西北各个地区的生态资源环境,纸质点名，每周自愿pre，外加一个小组大展示，期末开卷交纸质版，题目是每个PPT后面的思考题,老师很好，分享很多西北地区的照片,90,,
西北生态资源与水环境,通识选修课（公选课）,,谢平,西北环境地理知识，了解到古代部落文明,考勤很频繁，有平时作业还有pre，期末题目网上可以找到,强烈推荐，老师超级好的(??????)??,92,,
西北水资源,通识选修课（公选课）,,谢平,西北水资源特点、问题、治理等,节节签到，平时两次pre，期末一个课后答题 答案都在ppt里,给分好 老师好 会分享自己旅途的照片,98,,
西北水资源,通识选修课（公选课）,,谢平,西北水资源现状与问题、保护水资源的解决措施,有考勤，平时作业是一个pre，期末考核就是做一个文档的题,好课，但是老师快退休了,95,,
西北水资源,通识选修课（公选课）,,谢平,西北水资源相关知识等,每一次课都签到 有一个小组的pre 期末做14道题(其中12道都可以搜到答案，剩下两道按照自己的理解做就可以了)跟课后作业的形式差不多，没有考试。,老师真的很好 给的分数基本上都是90+,98,,
西方美术鉴赏,通识选修课（公选课）,,阮晴,西方雕塑 建筑 绘画,偶尔签到，一次小作业，期末论文格式字数无要求,老师很美很有气质，讲的也很生动,92,,
西方建筑与艺术,通识选修课（公选课）,,童乔慧,西方建筑风格和武汉大学特色建筑,扫码签到，平时作业时简单的quiz，期末pre,很推荐，喜欢建筑的话会非常享受这节课,95,,
西方美术鉴赏,通识选修课（公选课）,,阮晴,西方美术鉴赏 各个时期的美术,平时作业自拍 结课论文 很注重表达自己的感受,很不错 老师温柔 能了解了西方美术 有很多体会,91,,
西方美术鉴赏,通识选修课（公选课）,,阮晴,西方美术史和西方艺术品鉴赏,一般两周考勤一次，有一次平时作业，200字，期末论文结课,老师人很好，给分很好,91,,
戏曲审美导论,通识选修课（公选课）,,易栋,戏剧，没什么接触，接触后还挺好玩,有小论文和大论文，不难，是对课程的赏析,选易栋！！！！易栋老师真的是公选的神,95,,
戏曲审美导论,通识选修课（公选课）,,易栋老师,戏曲有关的知识，以及人文类的感悟,期末是两千字以下的感想,真的超级超级喜欢这堂课！！！太太太喜欢了TTT,95,,
现代生活环境与都市病,通识选修课（公选课）,,王洪新,现代都市病 大气污染水污染等等,考勤结课论文 不考试,老师给分很好 基本都在九十分以上,95,,
现代管理学,通识选修课（公选课）,,胡吉明,现代管理学，现代管理学,无考勤，无平时作业，考核简单,可选可选可选可选可选,88,,
现代媒介传播概览,通识选修课（公选课）,,冉华,现代媒介传播概览，媒体传播之类的,只有上网课老师截过一次屏，平时没有签到，考试开卷，可以上网查手机，我们的考试内容是写一下你学过的一个传播理论，上网抄就行，期末会发PPT,很水很水，给分也好，事不多，就是有一个小的分组展示,93,,
光科技在现代社会中的应用,通识选修课（公选课）,,周辉,现代社会中有关光科技的应用,平时考勤以及期末的开卷考试,知识详实，老师讲的也比较易懂，给分较高,85,,
现代生活环境与都市病,通识选修课（公选课）,,王洪新,现代生活环境几大污染问题及都市病，情商（做人）之道,5次考核，现场与老师放的图片合影，每次课要课后纪要，期末论文加视频电影观后感,给分普遍较高，这门课会有点高中时课堂的感觉，说教的意味，老师课堂经常提醒认真听，但道理现实，意味深长，课堂形式以放视频为主，较有吸引力，认真上做好笔记和作业，期末易满绩,95,,
史记导读,通识选修课（公选课）,,薛梦箫,相当于找重点章节翻译并讲解，讲的非常有意思,期末一个人物小传，一份期末主观题考试,老师温文尔雅，但讲课也很生动,87,,
创业项目管理,通识选修课（公选课）,,赖一飞,项目管理，企业家进课堂,有时点名，考察形式是论文,很轻松，给分不错，推荐,93,,
婚姻与家庭法,通识选修课（公选课）,,李国庆,详细地过了一遍婚姻法的内容，老师对法条的理解,不签到不点名无展示无作业，期末考试开卷，考试内容老师提前告知，可以课下准备,绝世好课，不管是想摆烂的还是想学东西的，平时不考勤上课也可以做自己的事情，最后几次课听了一下感觉老师的观点很先进很有趣,,,
大学生心理健康,通识选修课（公选课）,,何姣,心理健康，何老师讲的内容挺有用的,平时五次作业，有的在课上，有时间限制。不点名。,何老师很好，给分给高,91,,
大学生心理健康,通识选修课（公选课）,,曲晓艳,心理健康相关内容，心理学,有考勤，两次小组作业，由于疫情论文节课,非常好，老师平易近人，也,92,,
大学生心理健康,通识选修课（公选课）,,张文娟,心理学普通知识，补作业更多,有时上课会签到，有两次作业+期末小论文2000字,老师真的很好很善良，可以冲,94,,
心理学与生活,通识选修课（公选课）,,忘记了……女老师,心理学与生活相关知识,开卷，平时偶尔学习通考勤,老师很负责任，课上知识非常有趣,96,,
大学生心理健康,通识选修课（公选课）,,刘迪,心理知识 挺水的 平常不太听课也可以,要考勤 开卷考试or结课论文,老师很好 给分很好 是必修课,96,,
大学生心理健康,通识选修课（公选课）,,曾翘楚,心理知识，心理健康，各种关系,每节课都签到，形式多样，不定时，平时作业简单，期末写论文,"老师很好，得到的分挺高的
",94,,
心理咨询与治疗,通识选修课（公选课）,,曾翘楚,心理咨询与治疗的方法之类,不点名，每次课程结束写一两百字的课程心得，还有三次模拟咨询，没有期末考试,老师人好事少不点名，水课给分高,93,,
新能源利用与人类生存发展：VR创意体验,通识选修课（公选课）,,蔡锴,新能源相关知识和发展现状，老师手把手教实验,点名前通知，实验报告和期末论文结课,比较值得选，祝caj选不上,99,,
当代舞蹈名作鉴赏与实践,通识选修课（公选课）,,洪一鸣,欣赏舞蹈作品，讲解各舞种的发展，老师可能会提问对舞蹈作品的看法,论文结课，期末要准备一个舞蹈,上课挺轻松的，可能期末舞蹈对社恐人不太友好,91,,
西方美术鉴赏,通识选修课（公选课）,,阮晴,欣赏西方绘画建筑等艺术，会随机让人说一下自己的想法，很随意；并且每次课下课前都会问一下有没有同学自愿上台说一些跟某个关键词有关的内容,会有签到，一次平时作业（自拍照和少于200字的介绍），期末考核论文不限字数,老师很温柔，讲课也很有意思，但是上课会关灯,91,,
国际关系与新闻传播,通识选修课（公选课）,,林婕,新闻采访与国际外交相关,期末考核是模拟新闻发布会,很好可以冲，不要因为名字不喜欢它,,,
国际关系与新闻传播,通识选修课（公选课）,,林婕,新闻传播对于国际关系的影响,跟模拟联合国有点像，最后是大家一起组织一次气候大会，中间有两次课程展示分小组的机会，最后期末按组交两次剧本就可以，没有考试,老师，专业能力非常强，人也很温柔，结课的过程很有意思，大家一起表演评分的话，基本上也是学生自评，大家都给彼此打满分，非常友善，对于国际关系比较感兴趣的同学，可以去选，可以冲,90,,
信息素养与实践,通识选修课（公选课）,,龚芙蓉,信息检索能力，知网、万方、wos 等搜索引擎的使用,考勤、平时作业、课程展示,能学到知识，但是老师喜欢卡绩，最后的期末作业需要拉票，前几名才能展示，展示的会被加分,87,,
性与健康,通识选修课（公选课）,,朱俊勇,性病、性心理等相关知识,平时点人回答问题；期末写一篇推文，运用图片、视频、音频等各种方式,老师上课很有趣，也能学到一些知识，期末给分好,92,,
性与健康,通识选修课（公选课）,,朱俊勇,性的生理知识与性道德（很开放）,写一篇性科普公众号文章，大约2000字,老师非常好，从未缺课，每周都期待上课！学到了很多有用的生理知识，感觉其中很多是两性健康的必修内容,91,,
哲学核心问题,通识选修课（公选课）,,苏德超,形而上学 ，研究西方哲学里的一些经典问题，如人的同一性，因果关系，决定论,从不签到。上课主动回答问题会加分，重头戏在最后一次开卷期末考试，一个大论述题,需要一定哲学基础，或者是有很多奇思妙想的人。上课特别棒，老师会引导大家思考，妙语连珠。考试有点难，虽然与课程密切相关，但是需要专业性思考。相对硬核，不建议想水课的来。,86,,
性疾病传播与青春期健康,通识选修课（公选课）,,熊海蓉,性健康知识及性疾病介绍,偶尔考勤，平时小组展示一次，期末主题不限论文,感谢老师，这是门好课！,93,,
数字图像处理技巧,通识选修课（公选课）,,易尧华,修图照相.........,很少签到，期末一个实验报告,水课挺好的。。。。。,95,,
信息素养实践,通识选修课（公选课）,,龚芙蓉,学到了一些检索公式和网站,学习通签到 小组合作结课,如果没兴趣建议别选 上课经常要做题 每次课签到,89,,
3D打印：创享体验,通识选修课（公选课）,,宋凤莲;陈东;盛宗建;黄亚,学solidworks建模，很基础，后期自己设计作品打印,小组设计作品，打印成品、写报告，平时作业就一个思考题,挺好玩的，后面小组作业设计作品的时候老师很辛苦，一直在指导帮忙,93,,
体育舞蹈,通识选修课（公选课）,,贾凤蓉,学习三种到四种交际舞蹈,期末把自己学过的舞蹈编排一下，跳出自己想要的样子,老师人很好，给分也不错，90起评,94,,
数据素养与数据利用,通识选修课（公选课）,,刘霞，张宁,学学整个数据分析过程，学一点Excel,期中考试，期末大作业,我觉得分可以给的再高一点儿/doge,92,,
公共经济学,通识选修课（公选课）,,柳新元,学一些公共经济学的理论常识之类，谈谈最近的经济局势，老师人很好,否，无作业，期末考试一般闭卷，22年因为疫情开卷了,老师人超好，很温和。。。,,,
太极文化与健康,通识选修课（公选课）,,蔺志华,养生之道 打坐 站桩 晒太阳……,不考勤 期末写给老师课程感想 不限字数 和同学互换礼物,蔺老师真的很好！！！,,,
时空洞察,通识选修课（公选课）,,章迪,一半理论一半实践 有各种仪器的动手操作,论文结课 每节课扫码考勤,课程挺有意思 但卡了成绩,89,,
德国哲学导论,通识选修课（公选课）,,杨云飞,以点带面，精读三位德国哲学家以展现德国哲学的面孔，以生平与背景、原著与理论为素材，以问题为导向。,不考勤，结课形式可商量，我选课的那学期是期末开卷考。,引人入胜，属于大学里探讨“永恒的问题”的那类。,92,,
大学生健康,通识选修课（公选课）,,刘晴,以健康为主题，大致课程有用药与急救知识，合理营养与饮食，常见慢性病，健康行为与健康促进等等。认真听还是能学到东西的，比如急救知识,偶尔考勤。期末是开卷考试,挺好的。有不同的老师来上课，感觉是能学到东西的,,,
大学生心理健康,通识选修课（公选课）,,马鑫,依恋类型等，比较有趣,花式签到，记录小组发言次数，期末考试因为疫情改成论文了,讲课挺好，打分不算高,88,,
中国古典园林赏析,通识选修课（公选课）,,宋菊芳,以苏州园林为主介绍中国园林的一些非常基础的知识，包括园林发展历史、园林布局手法等,"点名用qq群进行，平时没有作业，在课上回答三次问题平时分即可满分，为了照顾同学老师的问题都是刚刚讲过或者反复提到过很多次的内容，非常简单。
期末开卷考试可以使用电子设备，考前会有一堂课复习，考试的内容基本都会涵盖，只要那堂课拍好ppt就可以都答出来。偶尔有百度不到的内容老师在平时上课也会告诉大家正确答案还会强调期末要考。",老师讲的很生动，即使不记笔记很放松的听也可以学到一些东西，而且老师人很善良很温柔。,99,,
元素营养与健康,通识选修课（公选课）,,田卫群,一些高中生物知识和生活常识，总体难度不大尤其对理科生,几乎每节课会用微助教签到，一个问卷(分数占比较大，答案PPT上基本都有)，一个小组pre,老师特别特别和蔼，上课氛围也很轻松。,91,,
现代媒介传播概览,通识选修课（公选课）,,冉华,一些关于传播学简单的知识,期末写篇小论文 开卷 平时没作业,很温和的老师！很好交流，很前卫,92,,
航空航天概论,通识选修课（公选课）,,吴琼水,一些航空航天的科普内容,有考勤 quiz 期末结课作业,上这门课比较麻烦有很多事,,,
天文学概论,通识选修课（公选课）,,罗佳,一些基础天文知识，老师也不时会分享一些古今中外的史实,不考勤，课堂上有时有小题（都是刚刚讲过知识点的，当堂交），期末考试，试题大都是平时作业里见过的题型。,非常好，选！老师讲课非常非常有趣,93,,
经典广告设计创新思维,通识选修课（公选课）,,刘艺琴,一些经典广告案例分析,很少考勤除非看都出来人太少，课堂有互动，平时作业是小组展示，期末考核小组做个广告,内容来说肯定有拓宽思维值得一听的地方，给分来说直接闭眼入，传统抢手课,92,,
军事高新技术,通识选修课（公选课）,,唐蓉,一些军事高新技术，中间也会有其他的老师来上课,小组展示?三千字论文,老师很好，论文也不查重,92,,
外交礼仪与谈判,通识选修课（公选课）,,吴蔚,一些生活中的礼仪，和出国经验,每节课考勤 一个小组展示 期末闭卷 ,嗯，总体来说，性价比不是很高，特别是期末考核方式，相比于其他的公选课来说，确实要花费更多的精力,91,,
西北水资源,通识选修课（公选课）,,谢平,一些西北地区水资源概况以及旅游经验哈哈哈,平时作业一个单人pre 一个小组合作 期末考核无压力,真的很好 谢老师就是y?y?d?s,,,
中华乐教导引,通识选修课（公选课）,,易栋,一些戏曲和诗词的赏析等等,有课后要在群里发的问题，期末写一篇论文,给分非常好，课堂人很多，可能有点拖堂,95,,
元素营养与健康,通识选修课（公选课）,,田卫群,一些饮食健康与生活习惯,考勤，平时作业与期末考核结合形式,老师很好，给分也很宽松,97,,
治水与社会发展,通识选修课（公选课）,,谢华,一些与水有关的社会热点问题,结课论文，平常不点名签到,非常好，讲课生动有趣，对学生亲近友好,92,,
化学的今天与明天,通识选修课（公选课）,,李仁杰,依照化学的今天与明天这本书，讲些跟化学有关的知识，个人感觉属于科普类型的课,不考勤，平时有一次小组PPT展示，但是不是强制每个人都要参加滴，论文结课，不查重,老师人很好，课轻松，内容不硬核，有几节课会放纪录片看，总体来说，可以水，听的话也会有些收获,,,
音乐剧鉴赏,通识选修课（公选课）,,吴靓,音乐剧的发展以及不同音乐剧的特点,有几次考勤，平时写过两次观后感，期末有考试,老师讲的很有趣，推荐的剧目也都很经典。,87,,
音乐剧鉴赏,通识选修课（公选课）,,啊我忘记了（好像这门课就一个老师）,音乐剧鉴赏，看音乐剧，讲发展史,有点到3次，平时作业2次，期末闭卷考试改为大论文,还行，可水，ppt可以拷，内容不多,92,,
音乐剧鉴赏,通识选修课（公选课）,,吴靓,音乐剧鉴赏，音乐剧发展历史,考勤，根据剧目交剧评，期末闭卷考试，题目有范围,喜欢音乐剧的同学可以选，如果没有太大兴趣的话，稍微有点无聊,90,,
音乐欣赏,通识选修课（公选课）,,李格,音乐类知识，涉及中外古今,结课论文，不少于1500字,老师水平挺高的，会即兴演唱,,,
音乐欣赏,通识选修课（公选课）,,王渊,音乐欣赏 听音乐 音乐历史,不考勤 无平时作业 期末开卷,王渊老师yyds！冲就对了,,,
中国传统文化,通识选修课（公选课）,,萧映,英文讲授传统文化内容,"一次书籍推荐
一次读后感",还不错 老师很好 讲的很有趣 但是在周末上课,90,,
英文小说名篇导读,通识选修课（公选课）,,程向莉等多位老师,英文小说鉴赏，学到一些文学、英语等知识,有考勤，一次pre，期末开卷考试，全英文答关于文学名著的知识,老师门都很认真，但是pre和考试任务还是有点大，总体还不错，也学到了不少,,,
